Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/19  17:00:00,20063524.41841844,20063524.41841844,0.0 
 04/19  18:00:00,14249925.592944054,14249925.592944053,0.0 
 04/19  19:00:00,10253764.258345897,10253764.258345895,0.0 
 04/19  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/19  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/19  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/19  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/19  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  06:00:00,17553960.169194234,17553960.169194238,0.0 
 04/20  07:00:00,22564306.58967884,22564306.589678844,0.0 
 04/20  08:00:00,28454585.467110766,28454585.46711076,0.0 
 04/20  09:00:00,28269435.441975248,28269435.441975245,0.0 
 04/20  10:00:00,28219652.282097646,28219652.282097646,0.0 
 04/20  11:00:00,28161048.511066468,28161048.511066468,0.0 
 04/20  12:00:00,26461925.759563608,26461925.759563608,0.0 
 04/20  13:00:00,28228786.348936578,28228786.348936585,0.0 
 04/20  14:00:00,28200320.083509994,28200320.08350999,0.0 
 04/20  15:00:00,28301882.779630554,28301882.779630547,0.0 
 04/20  16:00:00,28395001.869858304,28395001.8698583,0.0 
 04/20  17:00:00,20639091.09077157,20639091.09077157,0.0 
 04/20  18:00:00,15330293.940292553,15330293.940292549,0.0 
 04/20  19:00:00,10253764.258345897,10253764.258345893,0.0 
 04/20  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/20  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/20  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/20  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/20  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  03:00:00,9019604.825749658,9019604.825749658,0.0 
 04/21  04:00:00,9469604.825749658,9469604.825749658,0.0 
 04/21  05:00:00,9469604.825749658,9469604.825749658,0.0 
 04/21  06:00:00,21342257.40191549,21342257.401915485,2259470.284352568 
 04/21  07:00:00,27047315.414133699,27047315.414133699,0.0 
 04/21  08:00:00,31493504.254014277,31493504.254014274,0.0 
 04/21  09:00:00,31506879.969474365,31506879.96947436,0.0 
 04/21  10:00:00,29858498.060339244,29858498.06033923,0.0 
 04/21  11:00:00,29096855.095330217,29096855.09533021,0.0 
 04/21  12:00:00,29291317.582774763,29291317.582774763,0.0 
 04/21  13:00:00,29065859.759450657,29065859.75945065,0.0 
 04/21  14:00:00,29353277.290126943,29353277.290126943,0.0 
 04/21  15:00:00,29403080.582645265,29403080.582645265,0.0 
 04/21  16:00:00,28845321.450866328,28845321.450866324,0.0 
 04/21  17:00:00,24421310.939825428,24421310.939825428,0.0 
 04/21  18:00:00,19815590.912810454,19815590.912810446,0.0 
 04/21  19:00:00,11153764.258345897,11153764.258345895,0.0 
 04/21  20:00:00,10637784.395628443,10637784.395628443,0.0 
