Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/26  13:00:00,41266056.158460389,41266056.158460389,0.0 
 07/26  14:00:00,41200802.870218869,41200802.87021886,0.0 
 07/26  15:00:00,41049254.30169988,41049254.30169988,0.0 
 07/26  16:00:00,40777669.555843029,40777669.555843029,0.0 
 07/26  17:00:00,28963956.49696761,28963956.496967608,0.0 
 07/26  18:00:00,13857119.04445382,13857119.044453819,0.0 
 07/26  19:00:00,9312926.3434424,9312926.343442399,0.0 
 07/26  20:00:00,9504654.395628443,9504654.395628443,0.0 
 07/26  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/26  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/26  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/26  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/27  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/27  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/27  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/27  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/27  05:00:00,8233244.825749659,8233244.825749658,0.0 
 07/27  06:00:00,21023160.47741637,21023160.47741637,0.0 
 07/27  07:00:00,22867922.648981576,22867922.64898157,0.0 
 07/27  08:00:00,39107999.215275678,39107999.21527567,0.0 
 07/27  09:00:00,40183968.96018959,40183968.96018958,0.0 
 07/27  10:00:00,40809089.77757471,40809089.77757471,0.0 
 07/27  11:00:00,41143184.0727433,41143184.07274329,0.0 
 07/27  12:00:00,39277525.26266526,39277525.26266526,0.0 
 07/27  13:00:00,42096560.410732779,42096560.410732779,0.0 
 07/27  14:00:00,42325356.767690058,42325356.76769005,0.0 
 07/27  15:00:00,42939990.482658509,42939990.482658509,0.0 
 07/27  16:00:00,43365287.725437548,43365287.725437548,0.0 
 07/27  17:00:00,31889341.64358262,31889341.64358262,0.0 
 07/27  18:00:00,13869104.737640297,13869104.737640296,0.0 
 07/27  19:00:00,9411536.99649758,9411536.996497577,0.0 
 07/27  20:00:00,9504654.395628443,9504654.395628443,0.0 
 07/27  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/27  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/27  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/27  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/28  01:00:00,8569604.825749658,8569604.825749658,0.0 
 07/28  02:00:00,8569604.825749658,8569604.825749658,0.0 
 07/28  03:00:00,8569604.825749658,8569604.825749658,0.0 
 07/28  04:00:00,8569604.825749658,8569604.825749658,0.0 
 07/28  05:00:00,8233244.825749659,8233244.825749658,0.0 
 07/28  06:00:00,22563050.678702918,22563050.678702915,0.0 
 07/28  07:00:00,23069805.351684955,23069805.35168495,0.0 
 07/28  08:00:00,38482331.59469217,38482331.59469216,0.0 
 07/28  09:00:00,39285944.65009911,39285944.650099109,0.0 
 07/28  10:00:00,40598236.065068129,40598236.065068129,0.0 
 07/28  11:00:00,41904608.64907776,41904608.64907776,0.0 
 07/28  12:00:00,40435796.576733488,40435796.57673348,0.0 
 07/28  13:00:00,43507578.55139212,43507578.551392119,0.0 
 07/28  14:00:00,43634453.80319228,43634453.80319228,0.0 
 07/28  15:00:00,43512856.931680958,43512856.931680958,0.0 
 07/28  16:00:00,42817856.78231892,42817856.78231892,0.0 
 07/28  17:00:00,30661466.788430916,30661466.788430908,0.0 
 07/28  18:00:00,13869104.737640296,13869104.737640296,0.0 
 07/28  19:00:00,9362167.680200905,9362167.680200905,0.0 
 07/28  20:00:00,9504654.395628443,9504654.395628443,0.0 
 07/28  21:00:00,9737784.395628443,9737784.395628443,0.0 
 07/28  22:00:00,8643951.519120457,8643951.519120455,0.0 
 07/28  23:00:00,6297449.08321209,6297449.08321209,0.0 
 07/28  24:00:00,8569604.825749658,8569604.825749658,0.0 
 07/29  01:00:00,5504338.596677196,5504338.596677196,0.0 
