Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/19  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/20  06:00:00,18043525.414173906,18043525.414173906,0.0 
 04/20  07:00:00,18758101.5401147,18758101.5401147,0.0 
 04/20  08:00:00,32061382.41178538,32061382.411785377,0.0 
 04/20  09:00:00,33527906.31688063,33527906.31688063,0.0 
 04/20  10:00:00,34890181.63990268,34890181.63990268,0.0 
 04/20  11:00:00,35927191.79756008,35927191.79756009,0.0 
 04/20  12:00:00,34259319.31332472,34259319.31332473,0.0 
 04/20  13:00:00,37668083.47620613,37668083.47620613,0.0 
 04/20  14:00:00,38598119.30923782,38598119.30923782,0.0 
 04/20  15:00:00,39297623.090006608,39297623.090006608,0.0 
 04/20  16:00:00,39855552.61114312,39855552.61114312,0.0 
 04/20  17:00:00,29017462.373928776,29017462.373928776,0.0 
 04/20  18:00:00,14862372.292984799,14862372.292984799,0.0 
 04/20  19:00:00,9766206.927528758,9766206.927528754,0.0 
 04/20  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/20  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/20  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/20  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/20  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/21  06:00:00,18004202.083194134,18004202.083194134,0.0 
 04/21  07:00:00,18810474.79975183,18810474.799751827,0.0 
 04/21  08:00:00,32080674.64077029,32080674.640770295,0.0 
 04/21  09:00:00,33633663.25541764,33633663.25541763,0.0 
 04/21  10:00:00,34973896.11956358,34973896.11956357,0.0 
 04/21  11:00:00,36098709.71247454,36098709.71247455,0.0 
 04/21  12:00:00,35069906.50609652,35069906.50609651,0.0 
 04/21  13:00:00,38638831.93229066,38638831.93229066,0.0 
