Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/05  10:00:00,33098905.066118365,33098905.06611836,0.0 
 04/05  11:00:00,34902944.958986077,34902944.958986077,0.0 
 04/05  12:00:00,33700282.454831529,33700282.454831529,0.0 
 04/05  13:00:00,37464323.54712629,37464323.54712629,0.0 
 04/05  14:00:00,38759901.44286552,38759901.44286552,0.0 
 04/05  15:00:00,39977978.52884804,39977978.52884804,0.0 
 04/05  16:00:00,41084467.50140421,41084467.50140421,0.0 
 04/05  17:00:00,30387457.19199659,30387457.19199659,0.0 
 04/05  18:00:00,15795428.475322828,15795428.475322823,0.0 
 04/05  19:00:00,10010549.389738413,10010549.389738409,0.0 
 04/05  20:00:00,9737784.395628443,9737784.395628443,0.0 
 04/05  21:00:00,9737784.395628443,9737784.395628443,0.0 
 04/05  22:00:00,8643951.519120457,8643951.519120455,0.0 
 04/05  23:00:00,6297449.08321209,6297449.08321209,0.0 
 04/05  24:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  01:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  02:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  03:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  04:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  05:00:00,8569604.825749658,8569604.825749658,0.0 
 04/06  06:00:00,19226050.7570049,19226050.757004896,0.0 
 04/06  07:00:00,20034425.906446734,20034425.906446734,0.0 
 04/06  08:00:00,32277058.709816588,32277058.70981659,0.0 
 04/06  09:00:00,34321869.53426669,34321869.534266699,0.0 
 04/06  10:00:00,36797191.807591009,36797191.807591009,0.0 
 04/06  11:00:00,38675801.07006327,38675801.07006328,0.0 
 04/06  12:00:00,38255165.69540888,38255165.69540888,0.0 
 04/06  13:00:00,41967193.9528573,41967193.95285729,0.0 
 04/06  14:00:00,43120272.91135007,43120272.91135008,0.0 
 04/06  15:00:00,44079376.71062017,44079376.71062018,0.0 
 04/06  16:00:00,44773122.37114099,44773122.37114099,0.0 
